endpoint,metric,panel,method,estimate,ci_low,ci_high,unit,display_scale,orientation,ci_method
macro_f1,Macro-F1,action,Baseline B,0.78031168989801292,0.76647179248241781,0.7932108729701326,raw difference,1,higher_is_better,95% percentile paired crossed bootstrap; 10000 shared PCG64 draws; NumPy linear quantiles
macro_f1,Macro-F1,action,Structured fusion,0.8043967299010033,0.79145934923209182,0.81679592932321166,raw difference,1,higher_is_better,95% percentile paired crossed bootstrap; 10000 shared PCG64 draws; NumPy linear quantiles
nll,NLL,action,Baseline B,0.4016157521515667,0.38290362145409562,0.42080654682767471,raw difference,1,lower_is_better,95% percentile paired crossed bootstrap; 10000 shared PCG64 draws; NumPy linear quantiles
nll,NLL,action,Structured fusion,0.36331586268855282,0.34420522102072032,0.38235640282401839,raw difference,1,lower_is_better,95% percentile paired crossed bootstrap; 10000 shared PCG64 draws; NumPy linear quantiles
brier,Brier,action,Baseline B,0.24491516371749561,0.2327878348458377,0.25749081598141971,raw difference,1,lower_is_better,95% percentile paired crossed bootstrap; 10000 shared PCG64 draws; NumPy linear quantiles
brier,Brier,action,Structured fusion,0.21361870299059471,0.20145728604230639,0.225729077681563,raw difference,1,lower_is_better,95% percentile paired crossed bootstrap; 10000 shared PCG64 draws; NumPy linear quantiles
ece,ECE,action,Baseline B,0.0033947710907464,0.0042503609480490003,0.0129927315045099,raw difference,1,lower_is_better,95% percentile paired crossed bootstrap; 10000 shared PCG64 draws; NumPy linear quantiles
ece,ECE,action,Structured fusion,0.0085582253486040996,0.0059928232377202996,0.016390768023856299,raw difference,1,lower_is_better,95% percentile paired crossed bootstrap; 10000 shared PCG64 draws; NumPy linear quantiles
collision,Collision,event,Baseline B,0.0161111111111111,0.0050000000000000001,0.029999999999999898,percentage points,100,lower_is_better,95% percentile paired crossed bootstrap; 10000 shared PCG64 draws; NumPy linear quantiles
collision,Collision,event,Structured fusion,0.0138888888888888,0.0027777777777776998,0.0277777777777777,percentage points,100,lower_is_better,95% percentile paired crossed bootstrap; 10000 shared PCG64 draws; NumPy linear quantiles
near_miss,Near miss,event,Baseline B,0.2205555555555555,0.17861111111111111,0.26416666666666661,percentage points,100,lower_is_better,95% percentile paired crossed bootstrap; 10000 shared PCG64 draws; NumPy linear quantiles
near_miss,Near miss,event,Structured fusion,0.2225,0.1802777777777777,0.2663888888888889,percentage points,100,lower_is_better,95% percentile paired crossed bootstrap; 10000 shared PCG64 draws; NumPy linear quantiles
critical_event,Critical event,event,Baseline B,0.23666666666666661,0.19388888888888881,0.28083333333333332,percentage points,100,lower_is_better,95% percentile paired crossed bootstrap; 10000 shared PCG64 draws; NumPy linear quantiles
critical_event,Critical event,event,Structured fusion,0.2363888888888889,0.19361111111111109,0.28111111111111098,percentage points,100,lower_is_better,95% percentile paired crossed bootstrap; 10000 shared PCG64 draws; NumPy linear quantiles
route_completion,Route completion,event,Baseline B,0.92527777777777764,0.89804861111111123,0.95027777777777755,percentage points,100,higher_is_better,95% percentile paired crossed bootstrap; 10000 shared PCG64 draws; NumPy linear quantiles
route_completion,Route completion,event,Structured fusion,0.92555555555555558,0.89749999999999985,0.9508333333333332,percentage points,100,higher_is_better,95% percentile paired crossed bootstrap; 10000 shared PCG64 draws; NumPy linear quantiles
ttc_p5,TTC-P5,ttc,Baseline B,9.3747809256876486,8.7060801256412113,10.053197300300525,seconds,1,higher_is_better,95% percentile paired crossed bootstrap; 10000 shared PCG64 draws; NumPy linear quantiles
ttc_p5,TTC-P5,ttc,Structured fusion,9.3210076873730152,8.645999167691631,10.009550785586146,seconds,1,higher_is_better,95% percentile paired crossed bootstrap; 10000 shared PCG64 draws; NumPy linear quantiles
jerk_p95,Jerk-P95,jerk,Baseline B,4.6617143326742365,4.4637800741943119,4.8685159275194811,m/s^3,1,lower_is_better,95% percentile paired crossed bootstrap; 10000 shared PCG64 draws; NumPy linear quantiles
jerk_p95,Jerk-P95,jerk,Structured fusion,4.5969161972423684,4.4101318366913453,4.7904344931129454,m/s^3,1,lower_is_better,95% percentile paired crossed bootstrap; 10000 shared PCG64 draws; NumPy linear quantiles
